d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=440.672211
d[0]=63.788715, d[1]=124.458832, d[2]=182.857864
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=57.271286, d[1]=118.878090, d[2]=184.176544
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=500.099976
d[0]=440.672211, d[1]=533.540039, d[2]=535.708862
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=628.589722, d[1]=712.755920, d[2]=724.487427
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=91.005493, d[1]=449.090179, d[2]=786.307800
d[0]=91.005493, d[1]=358.089386, d[2]=695.317200
d[0]=337.250641, d[1]=358.089386, d[2]=420.343903
d[0]=83.096329, d[1]=123.761871, d[2]=337.250641
d[0]=83.096329, d[1]=85.052925, d[2]=420.343903
d[0]=85.052925, d[1]=123.761871, d[2]=435.124115
d[0]=483.202850, d[1]=568.254333, d[2]=580.675476
d[0]=83.000000, d[1]=121.082619, d[2]=428.841461
d[0]=86.145226, d[1]=124.963997, d[2]=445.408813
d[0]=81.301903, d[1]=83.000000, d[2]=413.569824
d[0]=81.301903, d[1]=121.082619, d[2]=332.267975
d[0]=332.267975, d[1]=346.902008, d[2]=413.569824
d[0]=91.197586, d[1]=124.963997, d[2]=346.902008
d[0]=86.145226, d[1]=91.197586, d[2]=438.098175
d[0]=91.005493, d[1]=449.090179, d[2]=786.307800
d[0]=91.005493, d[1]=358.089386, d[2]=695.317200
d[0]=337.250641, d[1]=358.089386, d[2]=420.343903
d[0]=83.096329, d[1]=123.761871, d[2]=337.250641
d[0]=83.096329, d[1]=85.052925, d[2]=420.343903
d[0]=85.052925, d[1]=123.761871, d[2]=435.124115
d[0]=483.202850, d[1]=568.254333, d[2]=580.675476
d[0]=83.000000, d[1]=121.082619, d[2]=428.841461
d[0]=86.145226, d[1]=124.963997, d[2]=445.408813
d[0]=81.301903, d[1]=83.000000, d[2]=413.569824
d[0]=81.301903, d[1]=121.082619, d[2]=332.267975
d[0]=332.267975, d[1]=346.902008, d[2]=413.569824
d[0]=91.197586, d[1]=124.963997, d[2]=346.902008
d[0]=86.145226, d[1]=91.197586, d[2]=438.098175
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=461.169159
d[0]=66.098412, d[1]=128.265350, d[2]=187.299225
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=58.249462, d[1]=119.641129, d[2]=184.945938
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=525.038086
d[0]=461.169159, d[1]=555.090088, d[2]=562.601074
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=634.833069, d[1]=825.573730, d[2]=1089.036743
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=440.672211
d[0]=63.788715, d[1]=124.458832, d[2]=182.857864
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=57.271286, d[1]=118.878090, d[2]=184.176544
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=500.099976
d[0]=440.672211, d[1]=533.540039, d[2]=535.708862
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=628.589722, d[1]=712.755920, d[2]=724.487427
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=91.005493, d[1]=449.090179, d[2]=786.307800
d[0]=91.005493, d[1]=358.089386, d[2]=695.317200
d[0]=337.250641, d[1]=358.089386, d[2]=420.343903
d[0]=83.096329, d[1]=123.761871, d[2]=337.250641
d[0]=83.096329, d[1]=85.052925, d[2]=420.343903
d[0]=85.052925, d[1]=123.761871, d[2]=435.124115
d[0]=483.202850, d[1]=568.254333, d[2]=580.675476
d[0]=83.000000, d[1]=121.082619, d[2]=428.841461
d[0]=86.145226, d[1]=124.963997, d[2]=445.408813
d[0]=81.301903, d[1]=83.000000, d[2]=413.569824
d[0]=81.301903, d[1]=121.082619, d[2]=332.267975
d[0]=332.267975, d[1]=346.902008, d[2]=413.569824
d[0]=91.197586, d[1]=124.963997, d[2]=346.902008
d[0]=86.145226, d[1]=91.197586, d[2]=438.098175
d[0]=91.005493, d[1]=449.090179, d[2]=786.307800
d[0]=91.005493, d[1]=358.089386, d[2]=695.317200
d[0]=337.250641, d[1]=358.089386, d[2]=420.343903
d[0]=83.096329, d[1]=123.761871, d[2]=337.250641
d[0]=83.096329, d[1]=85.052925, d[2]=420.343903
d[0]=85.052925, d[1]=123.761871, d[2]=435.124115
d[0]=483.202850, d[1]=568.254333, d[2]=580.675476
d[0]=83.000000, d[1]=121.082619, d[2]=428.841461
d[0]=86.145226, d[1]=124.963997, d[2]=445.408813
d[0]=81.301903, d[1]=83.000000, d[2]=413.569824
d[0]=81.301903, d[1]=121.082619, d[2]=332.267975
d[0]=332.267975, d[1]=346.902008, d[2]=413.569824
d[0]=91.197586, d[1]=124.963997, d[2]=346.902008
d[0]=86.145226, d[1]=91.197586, d[2]=438.098175
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=461.169159
d[0]=66.098412, d[1]=128.265350, d[2]=187.299225
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=58.249462, d[1]=119.641129, d[2]=184.945938
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=525.038086
d[0]=461.169159, d[1]=555.090088, d[2]=562.601074
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=634.833069, d[1]=825.573730, d[2]=1089.036743
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=461.169159
d[0]=66.098412, d[1]=128.265350, d[2]=187.299225
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=58.249462, d[1]=119.641129, d[2]=184.945938
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=525.038086
d[0]=461.169159, d[1]=555.090088, d[2]=562.601074
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=634.833069, d[1]=825.573730, d[2]=1089.036743
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=440.672211
d[0]=63.788715, d[1]=124.458832, d[2]=182.857864
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=57.271286, d[1]=118.878090, d[2]=184.176544
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=500.099976
d[0]=440.672211, d[1]=533.540039, d[2]=535.708862
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=628.589722, d[1]=712.755920, d[2]=724.487427
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=91.005493, d[1]=449.090179, d[2]=786.307800
d[0]=91.005493, d[1]=358.089386, d[2]=695.317200
d[0]=337.250641, d[1]=358.089386, d[2]=420.343903
d[0]=83.096329, d[1]=123.761871, d[2]=337.250641
d[0]=83.096329, d[1]=85.052925, d[2]=420.343903
d[0]=85.052925, d[1]=123.761871, d[2]=435.124115
d[0]=483.202850, d[1]=568.254333, d[2]=580.675476
d[0]=83.000000, d[1]=121.082619, d[2]=428.841461
d[0]=86.145226, d[1]=124.963997, d[2]=445.408813
d[0]=81.301903, d[1]=83.000000, d[2]=413.569824
d[0]=81.301903, d[1]=121.082619, d[2]=332.267975
d[0]=332.267975, d[1]=346.902008, d[2]=413.569824
d[0]=91.197586, d[1]=124.963997, d[2]=346.902008
d[0]=86.145226, d[1]=91.197586, d[2]=438.098175
d[0]=91.005493, d[1]=449.090179, d[2]=786.307800
d[0]=91.005493, d[1]=358.089386, d[2]=695.317200
d[0]=337.250641, d[1]=358.089386, d[2]=420.343903
d[0]=83.096329, d[1]=123.761871, d[2]=337.250641
d[0]=83.096329, d[1]=85.052925, d[2]=420.343903
d[0]=85.052925, d[1]=123.761871, d[2]=435.124115
d[0]=483.202850, d[1]=568.254333, d[2]=580.675476
d[0]=83.000000, d[1]=121.082619, d[2]=428.841461
d[0]=86.145226, d[1]=124.963997, d[2]=445.408813
d[0]=81.301903, d[1]=83.000000, d[2]=413.569824
d[0]=81.301903, d[1]=121.082619, d[2]=332.267975
d[0]=332.267975, d[1]=346.902008, d[2]=413.569824
d[0]=91.197586, d[1]=124.963997, d[2]=346.902008
d[0]=86.145226, d[1]=91.197586, d[2]=438.098175
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=461.169159
d[0]=66.098412, d[1]=128.265350, d[2]=187.299225
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=58.249462, d[1]=119.641129, d[2]=184.945938
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=101.434708, d[1]=108.004631, d[2]=533.008423
d[0]=101.434708, d[1]=135.948517, d[2]=525.038086
d[0]=461.169159, d[1]=555.090088, d[2]=562.601074
d[0]=108.004631, d[1]=135.948517, d[2]=425.018829
d[0]=527.266541, d[1]=620.003235, d[2]=628.697876
d[0]=589.427673, d[1]=681.143921, d[2]=690.857422
d[0]=648.459717, d[1]=739.422729, d[2]=749.888672
d[0]=425.018829, d[1]=513.806396, d[2]=525.038086
d[0]=634.833069, d[1]=825.573730, d[2]=1089.036743
d[0]=576.584778, d[1]=781.048645, d[2]=1060.287720
d[0]=515.197998, d[1]=736.452332, d[2]=1033.007690
d[0]=449.891083, d[1]=691.208374, d[2]=1006.503845
d[0]=513.806396, d[1]=933.488098, d[2]=1017.142090
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=440.672211
d[0]=63.788715, d[1]=124.458832, d[2]=182.857864
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=57.271286, d[1]=118.878090, d[2]=184.176544
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=95.036835, d[1]=102.044106, d[2]=504.035706
d[0]=95.036835, d[1]=130.969467, d[2]=500.099976
d[0]=440.672211, d[1]=533.540039, d[2]=535.708862
d[0]=504.457123, d[1]=596.164429, d[2]=599.493958
d[0]=102.044106, d[1]=130.969467, d[2]=402.011200
d[0]=565.128296, d[1]=656.019043, d[2]=660.165161
d[0]=623.529480, d[1]=714.002808, d[2]=718.565918
d[0]=402.011200, d[1]=404.004944, d[2]=493.821838
d[0]=628.589722, d[1]=712.755920, d[2]=724.487427
d[0]=571.318665, d[1]=656.101379, d[2]=667.216614
d[0]=509.722473, d[1]=595.483826, d[2]=605.622009
d[0]=444.416473, d[1]=531.113953, d[2]=540.315674
d[0]=99.020203, d[1]=124.963997, d[2]=404.004944
d[0]=95.900993, d[1]=124.963997, d[2]=493.821838
d[0]=95.900993, d[1]=99.020203, d[2]=503.015900
d[0]=91.005493, d[1]=449.090179, d[2]=786.307800
d[0]=91.005493, d[1]=358.089386, d[2]=695.317200
d[0]=337.250641, d[1]=358.089386, d[2]=420.343903
d[0]=83.096329, d[1]=123.761871, d[2]=337.250641
d[0]=83.096329, d[1]=85.052925, d[2]=420.343903
d[0]=85.052925, d[1]=123.761871, d[2]=435.124115
d[0]=483.202850, d[1]=568.254333, d[2]=580.675476
d[0]=83.000000, d[1]=121.082619, d[2]=428.841461
d[0]=86.145226, d[1]=124.963997, d[2]=445.408813
d[0]=81.301903, d[1]=83.000000, d[2]=413.569824
d[0]=81.301903, d[1]=121.082619, d[2]=332.267975
d[0]=332.267975, d[1]=346.902008, d[2]=413.569824
